item_id,item_text,audit_theme,physicality_status,constructs_containing_item,source_scale_memberships,valid_response_n,interpretive_note
q_4230,Am rather lively.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability,EPQr:EPQ:E,2420,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4234,Can usually let myself go and enjoy a lively party.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2405,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4237,Enjoy meeting new people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability,EPQr:EPQ:E,2421,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4240,Tend to keep in the background on social occasions.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability;SPI_15sociability:Sociability,EPQr:EPQ:E,2375,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4243,Like going out a lot.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_3sociability:Sociability,EPQr:EPQ:E,2454,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4247,Prefer reading to meeting people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability;SPI_15sociability:Sociability,EPQr:EPQ:E,2404,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4250,Have many friends.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2511,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4253,Would call myself happy-go-lucky.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2428,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4257,Usually take the initiative in making new friends.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2492,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4259,Am mostly quiet when with other people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability;SPI_15sociability:Sociability,EPQr:EPQ:E,2516,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4262,Can easily get some life into a dull party.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability,EPQr:EPQ:E,2488,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4265,Like telling jokes and funny stories to my friends.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2493,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4267,Like mixing with people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability;SPI_15sociability:Sociability,EPQr:EPQ:E,2449,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4270,People have said that I sometimes act rashly.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion;SPI_15impulsivity:Impulsivity,EPQr:EPQ:E,2408,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4271,"Nearly always have a ""ready answer"" when talking to people.","social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2453,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4274,Like doing things in which I have to act quickly.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2406,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4276,Often make decisions on the spur of the moment.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2522,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4278,Often take on more activities than I have time for.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2456,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4283,Can get a party going.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2427,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4292,Like having plenty of bustle and excitement around.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2513,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_4295,Other people think of me as being very lively.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,EPQr:EPQ:E:Extraversion,EPQr:EPQ:E,2503,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
