trait,canonical_definition,review_decision,bridge_tier,sapa_item_ids,sapa_exact_wording,source_scales,scoring_direction,item_count,planned_missingness_information,source_hashes,review_status
spiritual,"Incorporates transcendent dimensions, meaning beyond material existence, and sacred elements.",ACCEPT_CLOSE,secondary_close,q_345;q_660,q_345: Believe in one true religion. | q_660: Don't consider myself religious.,MPQ:MPQ:TR;IPIPneo:O6:LI,handled,2,"[{""item_id"":""q_345"",""valid_response_n"":2445,""missing_fraction"":0.89674395},{""item_id"":""q_660"",""valid_response_n"":2553,""missing_fraction"":0.89218295}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
nonchalant,Maintains casual indifference and relaxed unconcern about outcomes.,ACCEPT_CLOSE,secondary_close,q_248;q_4261,q_248: Am relaxed most of the time. | q_4261: Am more easy-going about right and wrong than most people.,IPIP100:B5:ES;MPQ:MPQ:SR;EPQr:EPQ:P,none,2,"[{""item_id"":""q_248"",""valid_response_n"":2633,""missing_fraction"":0.88880443},{""item_id"":""q_4261"",""valid_response_n"":2454,""missing_fraction"":0.89636387}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
theatrical,"Performs responses with dramatic flair, exaggerated gestures, and stage-like presence.",ACCEPT_DIRECT,primary_direct,q_2951;q_1555,q_2951: Have a colorful and dramatic way of talking about things.  | q_1555: Put on a show to impress people.,PS:PS:P;HEXACO:H:H:S,none,2,"[{""item_id"":""q_2951"",""valid_response_n"":2362,""missing_fraction"":0.90024917},{""item_id"":""q_1555"",""valid_response_n"":3572,""missing_fraction"":0.84914904}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
passionate,"Shows intense enthusiasm, strong emotions, and deep investment in topics.",ACCEPT_CLOSE,secondary_close,q_228,q_228: Am passionate about causes.,IPIPneo:O3:EM,none,1,"[{""item_id"":""q_228"",""valid_response_n"":2501,""missing_fraction"":0.89437899}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
deferential,Shows respect by yielding to others' authority and expertise.,ACCEPT_CLOSE,secondary_close,q_1624;q_917,q_1624: Respect authority. | q_917: Find it necessary to please the people who have power.,BFAS:BFAS:A:P;HEXACO:H:H:S,none,2,"[{""item_id"":""q_1624"",""valid_response_n"":4025,""missing_fraction"":0.83001816},{""item_id"":""q_917"",""valid_response_n"":3551,""missing_fraction"":0.8500359}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,ACCEPT_DIRECT,primary_direct,q_6;q_1763;q_1910,q_6: Accept people as they are. | q_1763: Sympathize with others' feelings. | q_1910: Value cooperation over competition.,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,none,3,"[{""item_id"":""q_6"",""valid_response_n"":2515,""missing_fraction"":0.89378774},{""item_id"":""q_1763"",""valid_response_n"":4080,""missing_fraction"":0.82769543},{""item_id"":""q_1910"",""valid_response_n"":2384,""missing_fraction"":0.89932007}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
reverent,"Shows deep respect, honor, and veneration for traditions and authority.",ACCEPT_CLOSE,secondary_close,q_1624;q_4236,q_1624: Respect authority. | q_4236: People should always respect the law.,BFAS:BFAS:A:P;EPQr:EPQ:P,none,2,"[{""item_id"":""q_1624"",""valid_response_n"":4025,""missing_fraction"":0.83001816},{""item_id"":""q_4236"",""valid_response_n"":2488,""missing_fraction"":0.894928}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",ACCEPT_DIRECT,primary_direct,q_1896;q_1765;q_905,q_1896: Use others for my own ends. | q_1765: Take advantage of others. | q_905: Find it difficult to manipulate others.,QB6:QB6:H;IPIPneo:A2:MO;BFAS:BFAS:A:P;MPQ:MPQ:SP,handled,3,"[{""item_id"":""q_1896"",""valid_response_n"":3509,""missing_fraction"":0.85180962},{""item_id"":""q_1765"",""valid_response_n"":2547,""missing_fraction"":0.89243634},{""item_id"":""q_905"",""valid_response_n"":2428,""missing_fraction"":0.89746189}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",ACCEPT_DIRECT,primary_direct,q_1706;q_1578;q_811,q_1706: Show my sadness. | q_1578: Rarely feel depressed. | q_811: Feel a sense of worthlessness or hopelessness.,HEXACO:H:E:D;BFAS:BFAS:N:W;HEXACO:H:E:A;QB6:QB6:ES,handled,3,"[{""item_id"":""q_1706"",""valid_response_n"":3372,""missing_fraction"":0.85759534},{""item_id"":""q_1578"",""valid_response_n"":2576,""missing_fraction"":0.89121162},{""item_id"":""q_811"",""valid_response_n"":2614,""missing_fraction"":0.88960682}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",ACCEPT_DIRECT,primary_direct,q_4265;q_1685;q_1043,q_4265: Like telling jokes and funny stories to my friends. | q_1685: Seldom joke around. | q_1043: Have a lot of fun.,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH;BFAS:BFAS:E:E,handled,3,"[{""item_id"":""q_4265"",""valid_response_n"":2493,""missing_fraction"":0.89471684},{""item_id"":""q_1685"",""valid_response_n"":2726,""missing_fraction"":0.8848769},{""item_id"":""q_1043"",""valid_response_n"":2721,""missing_fraction"":0.88508805}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",ACCEPT_DIRECT,primary_direct,q_85;q_1616,q_85: Am calm even in tense situations. | q_1616: Remain calm under pressure.,IPIPneo:N6:VU;HEXACO:H:E:A,none,2,"[{""item_id"":""q_85"",""valid_response_n"":2464,""missing_fraction"":0.89594155},{""item_id"":""q_1616"",""valid_response_n"":2613,""missing_fraction"":0.88964906}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
competitive,"Emphasizes winning, achievement, and outperforming others.",ACCEPT_CLOSE,secondary_close,q_1910,q_1910: Value cooperation over competition.,IPIPneo:A6:SY,handled,1,"[{""item_id"":""q_1910"",""valid_response_n"":2384,""missing_fraction"":0.89932007}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
extroverted,Shows energy when engaging with users and discussing social topics.,ACCEPT_DIRECT,primary_direct,q_1742;q_1803;q_4257,q_1742: Start conversations. | q_1803: Talk to a lot of different people at parties. | q_4257: Usually take the initiative in making new friends.,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,none,3,"[{""item_id"":""q_1742"",""valid_response_n"":2759,""missing_fraction"":0.88348326},{""item_id"":""q_1803"",""valid_response_n"":2831,""missing_fraction"":0.88044259},{""item_id"":""q_4257"",""valid_response_n"":2492,""missing_fraction"":0.89475907}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
bitter,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",ACCEPT_DIRECT,primary_direct,q_848;q_1150;q_630,q_848: Feel short-changed in life. | q_1150: Hold a grudge. | q_630: Do things out of revenge.,MPQ:MPQ:AL;HEXACO:H:A:FO;MPQ:MPQ:AG;IPIPneo:A4:CO,none,3,"[{""item_id"":""q_848"",""valid_response_n"":2327,""missing_fraction"":0.90172727},{""item_id"":""q_1150"",""valid_response_n"":2483,""missing_fraction"":0.89513915},{""item_id"":""q_630"",""valid_response_n"":2487,""missing_fraction"":0.89497023}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
hostile,Exhibits aggressive antagonism and combative approach to interactions.,ACCEPT_CLOSE,secondary_close,q_1051;q_630;q_1150,q_1051: Have a sharp tongue. | q_630: Do things out of revenge. | q_1150: Hold a grudge.,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO;HEXACO:H:A:FO,none,3,"[{""item_id"":""q_1051"",""valid_response_n"":2551,""missing_fraction"":0.89226741},{""item_id"":""q_630"",""valid_response_n"":2487,""missing_fraction"":0.89497023},{""item_id"":""q_1150"",""valid_response_n"":2483,""missing_fraction"":0.89513915}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
proactive,Anticipates needs and addresses issues before they become problems.,ACCEPT_CLOSE,secondary_close,q_1883;q_4257,q_1883: Turn plans into actions. | q_4257: Usually take the initiative in making new friends.,IPIPneo:C4:AS;EPQr:EPQ:E,none,2,"[{""item_id"":""q_1883"",""valid_response_n"":2470,""missing_fraction"":0.89568816},{""item_id"":""q_4257"",""valid_response_n"":2492,""missing_fraction"":0.89475907}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",ACCEPT_DIRECT,primary_direct,q_1681;q_793;q_219,q_1681: Seldom get emotional. | q_793: Experience my emotions intensely. | q_219: Am open about my feelings.,HEXACO:H:E:S;IPIPneo:O3:EM;MPQ:MPQ:SC,handled,3,"[{""item_id"":""q_1681"",""valid_response_n"":3405,""missing_fraction"":0.8562017},{""item_id"":""q_793"",""valid_response_n"":2438,""missing_fraction"":0.89703957},{""item_id"":""q_219"",""valid_response_n"":2452,""missing_fraction"":0.89644833}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
dominant,Takes charge of conversations and drives toward specific outcomes.,ACCEPT_DIRECT,primary_direct,q_1768;q_1769;q_2161,q_1768: Take charge. | q_1769: Take control of things. | q_2161: Do not have an assertive personality.,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,handled,3,"[{""item_id"":""q_1768"",""valid_response_n"":4366,""missing_fraction"":0.81561721},{""item_id"":""q_1769"",""valid_response_n"":2536,""missing_fraction"":0.89290088},{""item_id"":""q_2161"",""valid_response_n"":4315,""missing_fraction"":0.81777102}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
submissive,Readily yields to others' wishes and avoids asserting own views or needs.,ACCEPT_CLOSE,secondary_close,q_2161;q_1768,q_2161: Do not have an assertive personality. | q_1768: Take charge.,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,handled,2,"[{""item_id"":""q_2161"",""valid_response_n"":4315,""missing_fraction"":0.81777102},{""item_id"":""q_1768"",""valid_response_n"":4366,""missing_fraction"":0.81561721}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
reserved,Maintains emotional restraint and limits personal disclosure.,ACCEPT_DIRECT,primary_direct,q_1196;q_1635;q_1742,q_1196: Keep others at a distance. | q_1635: Reveal little about myself. | q_1742: Start conversations.,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;QB6:QB6:X,handled,3,"[{""item_id"":""q_1196"",""valid_response_n"":2707,""missing_fraction"":0.88567929},{""item_id"":""q_1635"",""valid_response_n"":2814,""missing_fraction"":0.88116052},{""item_id"":""q_1742"",""valid_response_n"":2759,""missing_fraction"":0.88348326}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
cynical,Views human nature and motivations with deep distrust and pessimism.,ACCEPT_DIRECT,primary_direct,q_594;q_343;q_381,q_594: Distrust people. | q_343: Believe in human goodness. | q_381: Believe that people are essentially evil.,HEXACO:H:A:FO;MPQ:MPQ:AL;IPIPneo:A1:TR,handled,3,"[{""item_id"":""q_594"",""valid_response_n"":2643,""missing_fraction"":0.88838211},{""item_id"":""q_343"",""valid_response_n"":2457,""missing_fraction"":0.89623717},{""item_id"":""q_381"",""valid_response_n"":2436,""missing_fraction"":0.89712403}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
grandiose,Has dramatically inflated sense of self-importance and special abilities.,ACCEPT_DIRECT,primary_direct,q_364;q_1042;q_1830,q_364: Believe that I am better than others. | q_1042: Have a high opinion of myself. | q_1830: Think highly of myself.,BFAS:BFAS:A:P;HEXACO:H:H:M;IPIPneo:A5:MO,none,3,"[{""item_id"":""q_364"",""valid_response_n"":3481,""missing_fraction"":0.8529921},{""item_id"":""q_1042"",""valid_response_n"":2449,""missing_fraction"":0.89657502},{""item_id"":""q_1830"",""valid_response_n"":2417,""missing_fraction"":0.89792643}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
spontaneous,"Provides varied, unpredictable responses that don't follow rigid patterns.",ACCEPT_CLOSE,secondary_close,q_4276;q_1488,q_4276: Often make decisions on the spur of the moment. | q_1488: Often make last-minute plans.,EPQr:EPQ:E;MPQ:MPQ:CO;IPIPneo:C6:CA,none,2,"[{""item_id"":""q_4276"",""valid_response_n"":2522,""missing_fraction"":0.89349212},{""item_id"":""q_1488"",""valid_response_n"":2450,""missing_fraction"":0.89653279}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
